Column1,code_2,category,description_2,code_3,description_3,abbreviations,id,link
69,I70,Atherosclerosis,Atherosclerosis,I70.23,Atherosclerosis of native arteries of right leg with ulceration,I70 | I70.23 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,0bc1d596-2998-5ab4-902d-f46646d07c43,
70,I70,Atherosclerosis,Atherosclerosis,I70.231,Atherosclerosis of native arteries of right leg with ulceration of thigh,I70 | I70.231 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with thigh ulceration |  ischemic ulcer |,c3dfbab1-6b58-50b7-b3e4-cc7fcc617272,
71,I70,Atherosclerosis,Atherosclerosis,I70.232,Atherosclerosis of native arteries of right leg with ulceration of calf,I70 | I70.232 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with calf ulceration |  ischemic ulcer |,0dff0f49-9890-50f3-bb7c-eea1bf763275,
72,I70,Atherosclerosis,Atherosclerosis,I70.233,Atherosclerosis of native arteries of right leg with ulceration of ankle,I70 | I70.233 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with ankle ulceration |  ischemic ulcer |,1f093258-ea62-56d8-ad79-4c790cd1fc28,
73,I70,Atherosclerosis,Atherosclerosis,I70.234,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,I70 | I70.234 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with heel ulceration |  ischemic ulcer |,0e6deb94-6256-54e3-a6bb-12a01b7c7e5c,
74,I70,Atherosclerosis,Atherosclerosis,I70.235,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,I70 | I70.235 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with foot ulceration |  ischemic ulcer |,7a809134-0be8-5493-9c3c-2fa3a1b87e18,
363,I25,Ischemic Heart Disease,Chronic ischemic heart disease,I25.702,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris",I25 |  I25.702 | Ischemic Heart Disease | Ischemic Heart Disease (IHD) | Atherosclerosis of CABG | CAD | Coronary Artery Disease |,32a4ffcc-de0a-501c-919c-e4997aa5034b,
75,I70,Atherosclerosis,Atherosclerosis,I70.238,Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,I70 | I70.238 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,2a3506c1-6bfe-5180-b9a7-964fc44c6fdc,
76,I70,Atherosclerosis,Atherosclerosis,I70.239,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,I70 | I70.239 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  of unspecified site |  ischemic ulcer |,161f9d83-5426-590b-83be-9d5ba728176e,
77,I70,Atherosclerosis,Atherosclerosis,I70.24,Atherosclerosis of native arteries of left leg with ulceration,I70 | I70.24 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,d35a38a6-4b5a-5f68-b140-dde167df6d20,
78,I70,Atherosclerosis,Atherosclerosis,I70.241,Atherosclerosis of native arteries of left leg with ulceration of thigh,I70 | I70.241 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,bc183ba4-b132-5391-a4df-fb56a79c5a40,
79,I70,Atherosclerosis,Atherosclerosis,I70.242,Atherosclerosis of native arteries of left leg with ulceration of calf,I70 | I70.242 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,46452ad9-aab5-5794-9e22-79b2e156b17e,
80,I70,Atherosclerosis,Atherosclerosis,I70.243,Atherosclerosis of native arteries of left leg with ulceration of ankle,I70 | I70.243 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,b7f0e3e6-2caf-5148-8b48-2f063510e2f8,
81,I70,Atherosclerosis,Atherosclerosis,I70.244,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,I70 | I70.244 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,37df7f1b-7149-5fd4-935d-cc4dff8e2daf,
82,I70,Atherosclerosis,Atherosclerosis,I70.245,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,I70 | I70.245 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,a2bbbdd2-21e5-5526-8ede-15e783a98d11,
83,I70,Atherosclerosis,Atherosclerosis,I70.248,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,I70 | I70.248 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,be763183-af1b-5165-9559-3dac25a09b86,
84,I70,Atherosclerosis,Atherosclerosis,I70.249,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,I70 | I70.249 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,b21c6f1f-7d49-5094-8606-d73488e98613,
85,I70,Atherosclerosis,Atherosclerosis,I70.25,Atherosclerosis of native arteries of other extremities with ulceration,I70 | I70.25 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | Atherosclerosis  with leg ulceration |  ischemic ulcer |,36d67940-c3a7-560f-bcdc-aa97d4c2e794,
355,I25,Ischemic Heart Disease,Chronic ischemic heart disease,I25.4,Coronary artery aneurysm and dissection,I25 |  I25.4 | Ischemic Heart Disease | Ischemic Heart Disease (IHD) | aneurysmal coronary artery disease (ACAD) | ,04ee63a6-1408-54ad-8f6e-86cdf1219df9,
92,I70,Atherosclerosis,Atherosclerosis,I70.29,Other atherosclerosis of native arteries of extremities,I70 | I70.29 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,e10c8747-a9c3-5ef2-ae49-e65b43d25dc2,
93,I70,Atherosclerosis,Atherosclerosis,I70.291,Other atherosclerosis of native arteries of extremities right leg,I70 | I70.291 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,236abb23-d9ba-5c7f-bd0a-ea28b94c5669,
94,I70,Atherosclerosis,Atherosclerosis,I70.292,Other atherosclerosis of native arteries of extremities left leg,I70 | I70.292 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,8f557647-c5d8-50f0-830d-0f23ace9e82c,
95,I70,Atherosclerosis,Atherosclerosis,I70.293,Other atherosclerosis of native arteries of extremities bilateral legs,I70 | I70.293 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,8500c097-1352-5022-b9c9-9c6d3bc143fa,
96,I70,Atherosclerosis,Atherosclerosis,I70.298,Other atherosclerosis of native arteries of extremities other extremity,I70 | I70.298 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,d9281986-b4d0-5e78-b55a-83586c3eecc1,
97,I70,Atherosclerosis,Atherosclerosis,I70.299,Other atherosclerosis of native arteries of extremities unspecified extremity,I70 | I70.299 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,3ffff896-0ade-5703-a561-c975c5f9dbbf,
98,I70,Atherosclerosis,Atherosclerosis,I70.3,Atherosclerosis of unspecified type of bypass graft(s) of the extremities,I70 | I70.3 | Atherosclerosis | ASCVD (Atherosclerotic Cardiovascular Disease) | ASCVD Atherosclerotic Cardiovascular Disease | ASCVD-Atherosclerotic Cardiovascular Disease | ASCVD | Atherosclerotic Cardiovascular Disease | Arteriosclerotic Vascular Disease | ASVD | Arteriosclerotic Vascular Disease (ASVD) | peripheral artery disease | peripheral artery disease (PAD) | ,6085a732-4e7b-596c-be2e-a0f4170d143a,
