Column1,code_2,category,description_2,code_3,description_3,abbreviations,id,link
569,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.8,Malignant neoplasm of overlapping sites of eye and adnexa,C69 | C69.8 | Uveal Melanoma | Choroidal Melanoma | Conjunctival Melanoma | Eyelid Melanoma | Retinoblastoma with Orbital Extension | Sebaceous Carcinoma with Orbital Spread | Squamous Cell Carcinoma with Multisite Involvement | Orbital Rhabdomyosarcoma | Lacrimal Gland Carcinoma | Optic Nerve Glioma | Hemangiopericytoma of the Eye | Adenoid Cystic Carcinoma of the Lacrimal Gland | Eye Cancer | Basal Cell Carcinoma of the Eyelid | Orbital Lymphoma | Metastatic Tumors to the Eye or Orbit | Lacrimal Sac Tumor  ,d8fdf3a2-5be3-5afc-b87e-1b56b9d317df,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.8
570,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.80,Malignant neoplasm of overlapping sites of unspecified eye and adnexa,C69 | C69.80 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal Gland Cancer | Orbital Tumor | Lacrimal Gland Carcinoma | Eye Cancer | Squamous Cell Carcinoma of the Conjunctiva | Sebaceous Carcinoma | Basal Cell Carcinoma of the Eyelid | Orbital Lymphoma | Rhabdomyosarcoma | Metastatic Tumors to the Eye or Orbit  ,9ec795af-45dc-51ec-ba66-3d38c4d5c9b7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.80
571,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.81,Malignant neoplasm of overlapping sites of right eye and adnexa,C69 | C69.81 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal Gland Cancer | Orbital Tumor | Lacrimal Gland Carcinoma | Eye Cancer | Squamous Cell Carcinoma of the Conjunctiva | Sebaceous Carcinoma | Basal Cell Carcinoma of the Right Eyelid | Orbital Lymphoma (Right) | Rhabdomyosarcoma (Right) | Metastatic Tumors to the Right Eye or Orbit  ,c7d52dfa-3595-5d70-8345-4e82a9f34ea4,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.81
572,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.82,Malignant neoplasm of overlapping sites of left eye and adnexa,C69 | C69.82 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal Gland Cancer | Orbital Tumor | Lacrimal Gland Carcinoma | Eye Cancer | Squamous Cell Carcinoma of the Conjunctiva | Sebaceous Carcinoma | Basal Cell Carcinoma of the Left Eyelid | Orbital Lymphoma (Left) | Rhabdomyosarcoma (Left) | Metastatic Tumors to the Left Eye or Orbit  ,04720f64-88ff-54f0-ae90-0175479c564a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.82
573,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.9,Malignant neoplasm of unspecified site of eye,C69 | C69.9 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal gland cancer | Orbital Tumor | Lacrimal Gland Carcinoma  | Eye Cancer |,79ed130b-1861-5850-aa9c-6283a544ae27,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.9
574,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.90,Malignant neoplasm of unspecified site of unspecified eye,C69 | C69.90 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal gland cancer | Orbital Tumor | Lacrimal Gland Carcinoma  | Eye Cancer |,7929baf7-07cd-5032-87f3-7db3fc15e67e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.90
575,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.91,Malignant neoplasm of unspecified site of right eye,C69 | C69.91 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal gland cancer | Orbital Tumor | Lacrimal Gland Carcinoma  | Eye Cancer |,8cc5e98d-e2f4-53ee-abda-37f22b6ec17e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.91
576,C69,Eye Cancer,Malignant neoplasm of eye and adnexa,C69.92,Malignant neoplasm of unspecified site of left eye,C69 | C69.92 | Ocular Cancer | Ocular Malignancy | Intraocular Cancer | Choroidal Melanoma | Corneal Cancer | Retinal Cancer | Retinoblastoma | Ocular Melanoma | Lacrimal gland cancer | Orbital Tumor | Lacrimal Gland Carcinoma  | Eye Cancer |,ada987b6-3906-599e-a2f7-06a12a82b44d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C69-/C69.92
577,C70,Meningioma,Malignant neoplasm of meninges,C70.0,Malignant neoplasm of cerebral meninges,C70 | C70.0 | Meningeal Tumor | Meningeal Neoplasm | Meningioma | Cerebral Meningioma |,93aef870-1138-5e51-8443-27de7a90b405,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C70-/C70.0
579,C70,Meningioma,Malignant neoplasm of meninges,C70.9,"Malignant neoplasm of meninges, unspecified",C70 | C70.9 | Meningeal Tumor | Meningeal Neoplasm | Meningioma |,43e42a0d-687b-5ba5-a0cd-b202f043acb8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C70-/C70.9
580,C71,Brain Cancer,Malignant neoplasm of brain,C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles",C71 | C71.0 | Gliomas | Astrocytomas | Ependymomas | Glioblastoma Multiforme | GBM |  Pituitary Adenomas | Medulloblastoma | Brain tumor | Glial cell tumor| Glioma |Astro-cytoma| Astrocytoma|Ependymal tumor | Cerebral Cancer| Glioblastoma | Brain Cancer |,26bffaa5-d43b-51f8-aa2c-fa9caab99249,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.0
581,C71,Brain Cancer,Malignant neoplasm of brain,C71.1,Malignant neoplasm of frontal lobe,C71 | C71.1 | Frontal Lobe Cancer | Frontal-Lobe Cancer|,7a559d81-9b11-58de-ad8b-ff7adc184a8b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.1
582,C71,Brain Cancer,Malignant neoplasm of brain,C71.2,Malignant neoplasm of temporal lobe,C71 | C71.2 | Temporal lobe cancer |Brain Cancer |,9aba6982-252c-51f9-8e4d-c741baa834c1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.2
583,C71,Brain Cancer,Malignant neoplasm of brain,C71.3,Malignant neoplasm of parietal lobe,C71 | C71.3 | Parietal lobe cancer | Brain Cancer |,a5585b91-2e73-55d7-a556-3848ac869630,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.3
584,C71,Brain Cancer,Malignant neoplasm of brain,C71.4,Malignant neoplasm of occipital lobe,C71 | C71.4 |Occipital lobe cancer | Brain Cancer |,e6fa33fa-858c-5ce3-bcd4-34b3e3b2568e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.4
585,C71,Brain Cancer,Malignant neoplasm of brain,C71.5,Malignant neoplasm of cerebral ventricle,C71 | C71.5 | Cerebral Cancer | Brain Cancer |,6de2ad9c-9ba5-5998-904b-8b2bc2aa4100,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.5
586,C71,Brain Cancer,Malignant neoplasm of brain,C71.6,Malignant neoplasm of cerebellum,C71 | C71.6 | Cerebellum cancer |Brain Cancer |,37f8f366-2f08-5415-9454-fff55bd1f9ff,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.6
587,C71,Brain Cancer,Malignant neoplasm of brain,C71.7,Malignant neoplasm of brain stem,C71 | C71.7 |Brain Stem glioma | Brain Cancer |,3a3dffde-4417-5bac-a773-8ea07a46e17a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.7
588,C71,Brain Cancer,Malignant neoplasm of brain,C71.8,Malignant neoplasm of overlapping sites of brain,C71 | C71.8 | Gliomas | Astrocytomas | Ependymomas | Glioblastoma Multiforme | GBM | Pituitary Adenomas | Medulloblastoma | Brain tumor | Glial cell tumor| Glioma |Astro-cytoma| Astrocytoma| Ependymal tumor | Glioblastoma | Brain Cancer | Oligoastrocytoma |,96005e21-73e0-5578-83d3-b95ec0278e76,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.8
589,C71,Brain Cancer,Malignant neoplasm of brain,C71.9,"Malignant neoplasm of brain, unspecified",C71 | C71.9 | Gliomas | Astrocytomas | Ependymomas | Glioblastoma Multiforme | GBM |  Brain tumor | Glial cell tumor| Glioma |Astro-cytoma| Astrocytoma|Ependymal tumor | Frontal Lobe Cancer | Frontal-Lobe Cancer| Glioblastoma | Brain Cancer |,dfb650a5-3df1-5e98-a599-463866fee357,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C71-/C71.9
590,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.0,Malignant neoplasm of spinal cord,C72 | C72.0 | Malignant Neoplasm of Spinal Cord | Spinal Cord Cancer | Intramedullary Spinal Cord Tumor | Ependymoma | Astrocytoma | Glioblastoma | Oligodendroglioma | Oligodendrogliomas| Hemangioblastoma | Metastatic Spinal Cord Tumor | Primary Spinal Glioma | Spinal Sarcoma | Spinal Cancer | Central Nervous System Tumor | CNS Cancer  ,e4a88e4e-9f9e-5a63-9724-9cf3f6490d61,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.0
591,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.1,Malignant neoplasm of cauda equina,C72 | C72.1 | Malignant Neoplasm of Cauda Equina | Cauda Equina Cancer | Ependymoma of Cauda Equina | Astrocytoma of Cauda Equina | Schwannoma | Neurofibroma | Peripheral Nerve Sheath Tumor | Spinal Cancer | CNS Cancer | Central Nervous System Tumor  ,57e46ee2-3155-5db8-bc4e-0146087a403f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.1
595,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.22,Malignant neoplasm of left olfactory nerve,C72 | C72.22 | Malignant Neoplasm of Left Olfactory Nerve | Olfactory Nerve Cancer (Left) | Olfactory Neuroblastoma (Left) | Esthesioneuroblastoma (Left) | CNS Cancer | Spinal Cancer  ,8db9d07f-5e4e-517a-b479-b7ecc5f60726,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.22
596,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.3,Malignant neoplasm of optic nerve,C72 | C72.3 | Malignant Neoplasm of Optic Nerve | Optic Nerve Glioma | Optic Pathway Glioma | Primary Optic Nerve Tumor | Astrocytoma of Optic Nerve | Meningioma of Optic Nerve | CNS Cancer | Spinal Cancer  ,0475f85a-6ea9-5182-a295-52656a1e9747,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.3
597,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.30,Malignant neoplasm of unspecified optic nerve,C72 | C72.30 | Malignant Neoplasm of Unspecified Optic Nerve | Optic Nerve Glioma | Optic Pathway Glioma | Primary Optic Nerve Tumor | Astrocytoma of Optic Nerve | CNS Cancer | Spinal Cancer  ,f74f881c-aadd-517f-be0d-337fbf8fe4c8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.30
598,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.31,Malignant neoplasm of right optic nerve,C72 | C72.31 | Malignant Neoplasm of Right Optic Nerve | Optic Nerve Glioma (Right) | Optic Pathway Glioma (Right) | Primary Optic Nerve Tumor (Right) | Astrocytoma of Optic Nerve (Right) | CNS Cancer | Spinal Cancer  ,5f64bfe5-946a-510a-ae2f-eee3e6d8d748,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.31
599,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.32,Malignant neoplasm of left optic nerve,C72 | C72.32 | Malignant Neoplasm of Left Optic Nerve | Optic Nerve Glioma (Left) | Optic Pathway Glioma (Left) | Primary Optic Nerve Tumor (Left) | Astrocytoma of Optic Nerve (Left) | CNS Cancer | Spinal Cancer  ,2979727c-4711-5909-ab77-b8f8d30841b6,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.32
600,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.4,Malignant neoplasm of acoustic nerve,C72 | C72.4 | Malignant Neoplasm of Acoustic Nerve | Vestibular Schwannoma | Acoustic Neuroma | Cranial Nerve Tumor | CNS Cancer | Spinal Cancer  ,096c9c5b-0855-55cb-80d0-a03b9540d7bd,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.4
601,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.40,Malignant neoplasm of unspecified acoustic nerve,C72 | C72.40 | Malignant Neoplasm of Unspecified Acoustic Nerve | Vestibular Schwannoma | Acoustic Neuroma | Cranial Nerve Tumor | CNS Cancer | Spinal Cancer  ,12803b0d-61fe-5fd1-9e73-059eb64e282a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.40
602,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.41,Malignant neoplasm of right acoustic nerve,C72 | C72.41 | Malignant Neoplasm of Right Acoustic Nerve | Vestibular Schwannoma | Acoustic Neuroma | Cranial Nerve Tumor |Vestibular Schwannoma (Right) | Acoustic Neuroma (Right) | Cranial Nerve Tumor (Right) | CNS Cancer | Spinal Cancer  ,ed61bcc0-3014-54cf-9364-50fe2aee5435,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.41
603,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.42,Malignant neoplasm of left acoustic nerve,C72 | C72.42 | Malignant Neoplasm of Left Acoustic Nerve | Vestibular Schwannoma  | Acoustic Neuroma  | Cranial Nerve Tumor  | Vestibular Schwannoma (Left) | Acoustic Neuroma (Left) | Cranial Nerve Tumor (Left) | CNS Cancer | Spinal Cancer  ,04f7dd0a-60a3-54f0-b9e6-8e0736cba305,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.42
604,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.5,Malignant neoplasm of other and unspecified cranial nerves,C72 | C72.5 | Malignant Neoplasm of Other and Unspecified Cranial Nerves | Cranial Nerve Tumor | Peripheral Nerve Sheath Tumor | Schwannoma | Neurofibroma | CNS Cancer | Spinal Cancer  ,5d52dcd3-ff71-5e40-acee-4fdded8cdf09,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.5
605,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.50,Malignant neoplasm of unspecified cranial nerve,C72 | C72.50 | Malignant Neoplasm of Unspecified Cranial Nerve | Cranial Nerve Tumor | Peripheral Nerve Sheath Tumor | Schwannoma | Neurofibroma | CNS Cancer | Spinal Cancer  ,23de0694-0c1b-589f-8a0c-2329ec4e1ffa,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.50
606,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.59,Malignant neoplasm of other cranial nerves,C72 | C72.59 | Malignant Neoplasm of Other Cranial Nerves | Cranial Nerve Tumor | Peripheral Nerve Sheath Tumor | Schwannoma | Neurofibroma | CNS Cancer | Spinal Cancer  ,4c6a070f-dfc1-51cc-b7bf-aeeb87a94f3e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.59
607,C72,Spinal Cord Cancer,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72.9,"Malignant neoplasm of central nervous system, unspecified","C72 | C72.9 | Malignant Neoplasm of Central Nervous System, Unspecified | Primary CNS Tumor | Glioblastoma | Astrocytoma | Oligodendroglioma | Oligodendrogliomas| Ependymoma | CNS Cancer | Spinal Cancer | Central Nervous System Tumor  ",4190a5f9-e265-5190-8ef9-2c47920f5f1a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C69-C72/C72-/C72.9
608,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.0,Malignant neoplasm of cortex of adrenal gland,C74 | C74.0 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma | Malignant Adrenal Tumor | Adrenal Cancer |,7619f6de-63dc-5b6d-940b-70a67a05e650,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.0
609,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.00,Malignant neoplasm of cortex of unspecified adrenal gland,C74 | C74.00 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,dfe3f0df-047e-585f-8d1a-54a3f6d04b11,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.00
610,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.01,Malignant neoplasm of cortex of right adrenal gland,C74 | C74.01 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma  | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,27d34c4c-c7b2-5dce-85f5-8465c19a74e8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.01
611,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.02,Malignant neoplasm of cortex of left adrenal gland,C74 | C74.02 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,82307085-edc0-541c-a994-32484e856d7a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.02
612,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.1,Malignant neoplasm of medulla of adrenal gland,C74 | C74.1 | Adrenocortical carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,a038b326-1a42-5e02-9477-fbcedee362f4,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.1
613,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.10,Malignant neoplasm of medulla of unspecified adrenal gland,C74 | C74.10 | Adrenocortical carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,714b0259-3c02-53bb-9dd0-4cbd5870e7c1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.10
614,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.11,Malignant neoplasm of medulla of right adrenal gland,C74 | C74.11 | Adrenocortical carcinoma | Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,2cfa2210-19cd-539a-af3f-54a20a4cf2aa,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.11
615,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.12,Malignant neoplasm of medulla of left adrenal gland,C74 | C74.12 | Adrenocortical carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,7a790535-c0e9-5af8-804c-56b6bc54f42e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.12
616,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.9,Malignant neoplasm of unspecified part of adrenal gland,C74 | C74.9 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,4e37f623-7fc9-592b-9104-9e4f5f052f1e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.9
617,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.90,Malignant neoplasm of unspecified part of unspecified adrenal gland,C74 | C74.90 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,7253f3b3-f8c4-5689-8f5d-a2a25f455965,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.90
618,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.91,Malignant neoplasm of unspecified part of right adrenal gland,C74 | C74.91 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,a29e7d29-6787-5c41-afcb-4de4e78eeac8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.91
619,C74,Adrenal cancer,Malignant neoplasm of adrenal gland,C74.92,Malignant neoplasm of unspecified part of left adrenal gland,C74 | C74.92 | Adrenocortical carcinoma | Adrenal Cortex Carcinoma |  Adrenal Medullary Tumor | Paraganglioma | Malignant Adrenal Tumor | Metastatic Adrenal Cancer | Macc | Adrenal Cancer |,60a00026-d5c0-5766-99b2-3edd76686f7d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C74-/C74.92
620,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.0,Malignant neoplasm of parathyroid gland,C75 | C75.0 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Endocrine Cancer | Endocrine gland cancer | EGC |Parathyroid gland cancer | para-thyroid gland cancer | Para Thyroid Cancer |,fc580665-abb1-5315-b3ce-2492642ef59b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.0
621,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.1,Malignant neoplasm of pituitary gland,C75 | C75.1 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Endocrine gland cancer | EGC |Pituitary cancer | Pituitary gland cancer | Pituitary Carcinoma | Pituitary tumor | ,cef60c82-cc02-5269-9dcc-4e4bafb8eaed,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.1
622,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.2,Malignant neoplasm of craniopharyngeal duct,C75 | C75.2 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Endocrine Cancer | Endocrine gland cancer | EGC | Craniopharyngeal Duct Cancer | ,3690df7b-ba8c-5dfa-90c3-7bdf9fb3eb8e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.2
623,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.3,Malignant neoplasm of pineal gland,C75 | C75.3 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor |Pineal Gland Cancer | Endocrine gland cancer | EGC |Endocrine Cancer|,541c908a-102e-5abc-8ac8-9c9760c7cdd3,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.3
624,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.4,Malignant neoplasm of carotid body,C75 | C75.4 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Carotid Body tumor | Endocrine gland cancer | EGC | Endocrine Cancer |,d6f05abe-fde5-541d-a95d-34eef5178e2e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.4
625,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.5,Malignant neoplasm of aortic body and other paraganglia,C75 | C75.5 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Endocrine gland cancer | EGC | Extra-Adrenal Paraganglioma | Paraganglioma | Endocrine Cancer |,c7a8596a-d6fe-5461-aa4e-d4b5ee92b98e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.5
1013,C85,Lymphoma,Other specified and unspecified types of non-Hodgkin lymphoma,C85.11,"Unspecified B-cell lymphoma lymph nodes of head, face, and neck",C85 | C85.11 | NHL|Non-Hodgkin lymphoma| Non Hodgkin lymphoma |Non-Hodgkin's  | Non Hodgkin's Lymphoma | B-Cell Lymphoma | B Cell Lymphoma,9aca9a06-4f12-53e6-bff9-54a0cb2a1b43,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C81-C96/C85-/C85.11
626,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.8,"Malignant neoplasm with pluriglandular involvement, unspecified",C75 | C75.8 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Endocrine Cancer | Endocrine gland cancer | EGC | Multiple Endocrine Neoplasia |,34420e87-7fef-50f9-b535-161e6ff0b50a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.8
627,C75,Endocrine Cancer,Malignant neoplasm of other endocrine glands and related structures,C75.9,"Malignant neoplasm of endocrine gland, unspecified",C75 | C75.9 | Malignant Neoplasm of Endocrine Glands| Endocrine Tumor | Endocrine gland cancer | EGC | Extra-Adrenal Paraganglioma | Endocrine Cancer |,893806d9-ea75-585b-82ca-257b5b9e24c1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C73-C75/C75-/C75.9
628,C77,Lymph node cancer,Secondary and unspecified malignant neoplasm of lymph nodes,C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",C77 | C77.0 | Lymph-nodal Cancer | Lymph nodal cancer | LNC | Lymph Node Cancer | Lymph-Node Cancer | ,8a3d9799-7879-5e76-b0ce-669fbd063fc9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C76-C80/C77-/C77.0
629,C77,Lymph node cancer,Secondary and unspecified malignant neoplasm of lymph nodes,C77.1,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,C77 | C77.1 | Lymph-nodal Cancer | Lymph nodal cancer | LNC | Lymph Node Cancer | Lymph-Node Cancer |,58c41def-717b-544a-8ea5-972b646bbb17,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C76-C80/C77-/C77.1
