Column1,code_2,Unnamed: 2,description_2,code_3,description_3,id,link,Category
104,I70,,Atherosclerosis,I70.309,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities unspecified extremity,9d247c5b-da90-5d25-a903-9de38e027c53,,Atherosclerosis
117,I70,,Atherosclerosis,I70.33,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration,4410943d-8fee-50c4-8e2d-48442b7f0bc7,,Atherosclerosis
118,I70,,Atherosclerosis,I70.331,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,52f40889-b5d9-5295-ba2a-4bb8df0dd296,,Atherosclerosis
119,I70,,Atherosclerosis,I70.332,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,6ceb5d15-8170-552e-81c7-0e18dfaf8682,,Atherosclerosis
120,I70,,Atherosclerosis,I70.333,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,429ed453-c4af-54e8-894f-8e71f66ac2ce,,Atherosclerosis
121,I70,,Atherosclerosis,I70.334,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,570e1a1d-081c-5efa-a04e-2d89bc732407,,Atherosclerosis
122,I70,,Atherosclerosis,I70.335,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,a6688c7e-8908-581b-8030-076e5f03a02d,,Atherosclerosis
123,I70,,Atherosclerosis,I70.338,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,867f59cd-4387-594a-971d-61daeeba84bf,,Atherosclerosis
124,I70,,Atherosclerosis,I70.339,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,e68df6a1-102f-5dbd-a265-8d93c212f57c,,Atherosclerosis
125,I70,,Atherosclerosis,I70.34,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration,5cea04b2-a00c-5f38-bddc-1963486fce0c,,Atherosclerosis
126,I70,,Atherosclerosis,I70.341,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,bc813ff2-5aa4-5c4d-8768-d75eeaa01345,,Atherosclerosis
127,I70,,Atherosclerosis,I70.342,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,7efac560-5b02-5805-a1d5-b3168ed53927,,Atherosclerosis
128,I70,,Atherosclerosis,I70.343,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,952bba2e-7c42-58a6-8f61-d933ce01b996,,Atherosclerosis
129,I70,,Atherosclerosis,I70.344,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,90e59ba2-792f-5734-abc0-76347a5e8a9b,,Atherosclerosis
130,I70,,Atherosclerosis,I70.345,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,1284060a-3c69-547c-8373-0dc94ba35aea,,Atherosclerosis
131,I70,,Atherosclerosis,I70.348,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,ff297131-2292-5d74-a81c-9bb2df6a04dc,,Atherosclerosis
132,I70,,Atherosclerosis,I70.349,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,7d747f05-9d95-5b91-a173-79dbfb224ea7,,Atherosclerosis
133,I70,,Atherosclerosis,I70.35,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,eaebe7a9-c20d-51d8-9c39-37ddcc55018e,,Atherosclerosis
134,I70,,Atherosclerosis,I70.36,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene,47197f44-8795-50ba-b0f6-8701fc299d66,,Atherosclerosis
357,I25,,Chronic ischemic heart disease,I25.42,Coronary artery dissection,7ab1b9e2-ed08-56fd-b958-f58939f54e75,,Ischemic Heart Disease
135,I70,,Atherosclerosis,I70.361,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene right leg,0f3bfe48-da8b-5c40-9c02-1d012f437f52,,Atherosclerosis
365,I25,,Chronic ischemic heart disease,I25.709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris",89e45188-9c3b-53d6-8448-3d5f9d82a6df,,Ischemic Heart Disease
136,I70,,Atherosclerosis,I70.362,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene left leg,15ec210f-6abb-5f3b-801f-2e6d67e8ccf7,,Atherosclerosis
137,I70,,Atherosclerosis,I70.363,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene bilateral legs,ea2621cb-8a2c-5c54-84b1-4f719ee8e70d,,Atherosclerosis
138,I70,,Atherosclerosis,I70.368,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene other extremity,6c380586-51c8-5b35-99d8-b6361d75fe84,,Atherosclerosis
