Column1,code_2,Unnamed: 2,description_2,code_3,description_3,id,link,Category
0,C00,,Malignant neoplasm of lip,C00.0              ,Malignant neoplasm of external upper lip,3c67e325-5eef-5655-87ac-08cc0142b04f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.0,Lip Cancer
1,C00,,Malignant neoplasm of lip,C00.1,Malignant neoplasm of external lower lip,383c55de-4fa9-5c8a-af3d-db6d27755f44,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.1,Lip Cancer
2,C00,,Malignant neoplasm of lip,C00.2,"Malignant neoplasm of external lip, unspecified",ec23013b-b507-5d4e-9bfd-54502a1837c8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.2,Lip Cancer
3,C00,,Malignant neoplasm of lip,C00.3,"Malignant neoplasm of upper lip, inner aspect",f14f4a88-78f4-511a-9b96-2078c69ebb6f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.3,Lip Cancer
4,C00,,Malignant neoplasm of lip,C00.4,"Malignant neoplasm of lower lip, inner aspect",cb03f308-c881-58da-8af6-f214c6f710b7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.4,Lip Cancer
5,C00,,Malignant neoplasm of lip,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",69f68f73-92c7-5c5b-8fbf-2bd2bb3015b8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.5,Lip Cancer
6,C00,,Malignant neoplasm of lip,C00.6,"Malignant neoplasm of commissure of lip, unspecified",1febfeb7-8ede-54f7-916d-8ab00385cf00,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.6,Lip Cancer
7,C00,,Malignant neoplasm of lip,C00.8,Malignant neoplasm of overlapping sites of lip,517a86a1-9428-5812-b5d4-714f31a6bea1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.8,Lip Cancer
8,C00,,Malignant neoplasm of lip,C00.9,"Malignant neoplasm of lip, unspecified",4cae09c1-6bb3-5db8-8932-5f1d9929cfe2,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C00-/C00.9,Lip Cancer
9,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.0,Malignant neoplasm of dorsal surface of tongue,b74bdd58-d6ad-5d8e-840b-14bf29052288,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.0,Tongue Cancer
10,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.1,Malignant neoplasm of border of tongue,482c4d71-4996-5734-be38-9cc47d682b65,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.1,Tongue Cancer
11,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.2,Malignant neoplasm of ventral surface of tongue,1a6e7235-7a77-5cd5-935e-dc5272b4e2ff,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.2,Tongue Cancer
12,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",860fdaa1-cfa8-5a60-b2ae-7c8828939f35,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.3,Tongue Cancer
13,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.4,Malignant neoplasm of lingual tonsil,ff450439-081a-537c-9433-4d566e10e5f0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.4,Tongue Cancer
145,C43,,Malignant melanoma of skin,C43.2,Malignant melanoma of ear and external auricular canal,6b121479-f6d5-53a2-b694-822e4fafda91,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C43-C44/C43-/C43.2,Melanoma
14,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.8,Malignant neoplasm of overlapping sites of tongue,3eba0edc-e54c-5a51-9617-173959315ce9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.8,Tongue Cancer
15,C02,,Malignant neoplasm of other and unspecified parts of tongue,C02.9,"Malignant neoplasm of tongue, unspecified",71509ff9-5699-5d23-a259-2697e3da1f12,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C02-/C02.9,Tongue Cancer
16,C03,,Malignant neoplasm of gum,C03.0,Malignant neoplasm of upper gum,47b73633-1191-5657-96e7-3234ad0f234c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.0,Gum Cancer
17,C03,,Malignant neoplasm of gum,C03.1,Malignant neoplasm of lower gum,a8ec46a8-7bda-5101-90ca-a6ababe541e5,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.1,Gum Cancer
18,C03,,Malignant neoplasm of gum,C03.9,"Malignant neoplasm of gum, unspecified",09230294-9209-5831-8737-f904bdf8ab04,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C03-/C03.9,Gum Cancer
19,C05,,Malignant neoplasm of palate,C05.0,Malignant neoplasm of hard palate,0c2bdc14-c7b6-5ae0-a9f2-ef2495cd2955,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.0,Palate Cancer
20,C05,,Malignant neoplasm of palate,C05.1,Malignant neoplasm of soft palate,8fbd378d-8274-521e-936e-9ecc01afb567,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.1,Palate Cancer
21,C05,,Malignant neoplasm of palate,C05.2,Malignant neoplasm of uvula,8d5e8adc-f908-5287-8495-3e6f8c85398d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.2,Palate Cancer
22,C05,,Malignant neoplasm of palate,C05.8,Malignant neoplasm of overlapping sites of palate,becf2d30-67ca-5b5f-81ee-00c319b08fa6,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.8,Palate Cancer
23,C05,,Malignant neoplasm of palate,C05.9,"Malignant neoplasm of palate, unspecified",9af428ed-1e59-5e71-ac21-b4798ac491e9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C05-/C05.9,Palate Cancer
24,C08,,Malignant neoplasm of other and unspecified major salivary glands,C08.0,Malignant neoplasm of submandibular gland,b63c2eaf-18e0-5126-85fc-33b4112f893a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C08-/C08.0,Salivary Gland Cancer
25,C08,,Malignant neoplasm of other and unspecified major salivary glands,C08.1,Malignant neoplasm of sublingual gland,c7f59d68-edba-5883-bd46-cae900fbb11b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C08-/C08.1,Salivary Gland Cancer
26,C08,,Malignant neoplasm of other and unspecified major salivary glands,C08.9,"Malignant neoplasm of major salivary gland, unspecified",f92ddfca-181f-55c4-b68e-bc4f886a60e8,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C08-/C08.9,Salivary Gland Cancer
27,C09,,Malignant neoplasm of tonsil,C09.0,Malignant neoplasm of tonsillar fossa,bddc958f-b9a2-536d-8160-6aa2eb70053f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.0,Tonsil Cancer
28,C09,,Malignant neoplasm of tonsil,C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior),d0dde6ac-dd06-5958-aafb-16e44bcebc43,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.1,Tonsil Cancer
29,C09,,Malignant neoplasm of tonsil,C09.8,Malignant neoplasm of overlapping sites of tonsil,8fe659d6-b9b8-5274-b24e-61eae6a030fc,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.8,Tonsil Cancer
30,C09,,Malignant neoplasm of tonsil,C09.9,"Malignant neoplasm of tonsil, unspecified",a280a394-e6f3-5bed-9b2c-657c376eabc7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C09-/C09.9,Tonsil Cancer
31,C10,,Malignant neoplasm of oropharynx,C10.0,Malignant neoplasm of vallecula,ba3f45b7-8b13-556e-ac10-705b00787742,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.0,Oropharyngeal Cancer
32,C10,,Malignant neoplasm of oropharynx,C10.1,Malignant neoplasm of anterior surface of epiglottis,0b51d8db-fed7-5c56-9888-c3cac7de2293,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.1,Oropharyngeal Cancer
33,C10,,Malignant neoplasm of oropharynx,C10.2,Malignant neoplasm of lateral wall of oropharynx,14ab07fe-9b91-5f69-a66a-cd9c3c7cadac,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.2,Oropharyngeal Cancer
34,C10,,Malignant neoplasm of oropharynx,C10.3,Malignant neoplasm of posterior wall of oropharynx,a11de1a0-1568-5f4e-b400-3a13bc22b18b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.3,Oropharyngeal Cancer
35,C10,,Malignant neoplasm of oropharynx,C10.4,Malignant neoplasm of branchial cleft,c160dcba-635e-53ef-96fc-f1f1796c77c5,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.4,Oropharyngeal Cancer
36,C10,,Malignant neoplasm of oropharynx,C10.8,Malignant neoplasm of overlapping sites of oropharynx,5925a1c2-c40f-52dc-bfaa-4e3804d08749,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.8,Oropharyngeal Cancer
37,C10,,Malignant neoplasm of oropharynx,C10.9,"Malignant neoplasm of oropharynx, unspecified",09de6137-4d79-5aaa-95f1-9e9165315627,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C10-/C10.9,Oropharyngeal Cancer
38,C11,,Malignant neoplasm of nasopharynx,C11.0,Malignant neoplasm of superior wall of nasopharynx,0cb29eee-56c2-549a-9c51-ad904ca34a76,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.0,Nasopharyngeal Cancer
39,C11,,Malignant neoplasm of nasopharynx,C11.1,Malignant neoplasm of posterior wall of nasopharynx,251402c5-8e84-52e0-8226-cac8665b619e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.1,Nasopharyngeal Cancer
40,C11,,Malignant neoplasm of nasopharynx,C11.2,Malignant neoplasm of lateral wall of nasopharynx,1bd54001-ded0-55a8-853c-9d45aefaabd0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.2,Nasopharyngeal Cancer
41,C11,,Malignant neoplasm of nasopharynx,C11.3,Malignant neoplasm of anterior wall of nasopharynx,a9e3cb17-e22e-50cf-b35e-0253a7bd8b38,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.3,Nasopharyngeal Cancer
42,C11,,Malignant neoplasm of nasopharynx,C11.8,Malignant neoplasm of overlapping sites of nasopharynx,7f796df2-2520-5be1-b1a4-f6fb1d4e4b7f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.8,Nasopharyngeal Cancer
43,C11,,Malignant neoplasm of nasopharynx,C11.9,"Malignant neoplasm of nasopharynx, unspecified",da1bf97b-4905-5144-a6c9-202ebff19d38,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C11-/C11.9,Nasopharyngeal Cancer
44,C13,,Malignant neoplasm of hypopharynx,C13.0,Malignant neoplasm of postcricoid region,b54ca1f2-fe9a-5c76-b1ad-38da9ad1d84b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.0,Hypopharyngeal Cancer
45,C13,,Malignant neoplasm of hypopharynx,C13.1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",d73233ab-f85d-5a7b-958f-fdbcb9f38765,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.1,Hypopharyngeal Cancer
46,C13,,Malignant neoplasm of hypopharynx,C13.2,Malignant neoplasm of posterior wall of hypopharynx,3e5bf27f-4d8d-5b51-98ed-6b8445467a40,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.2,Hypopharyngeal Cancer
47,C13,,Malignant neoplasm of hypopharynx,C13.8,Malignant neoplasm of overlapping sites of hypopharynx,472d69a3-3fd8-5f56-9d6a-df4bd806544f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.8,Hypopharyngeal Cancer
48,C13,,Malignant neoplasm of hypopharynx,C13.9,"Malignant neoplasm of hypopharynx, unspecified",452afdf7-d05a-51ff-ae79-3a3de0fb8d7b,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C00-C14/C13-/C13.9,Hypopharyngeal Cancer
49,C15,,Malignant neoplasm of esophagus,C15.3,Malignant neoplasm of upper third of esophagus,98e02696-f2e0-5a87-97d7-ce820ce78097,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.3,Esophageal Cancer
50,C15,,Malignant neoplasm of esophagus,C15.4,Malignant neoplasm of middle third of esophagus,ec95d603-4f80-59df-b808-b80e879407ef,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.4,Esophageal Cancer
51,C15,,Malignant neoplasm of esophagus,C15.5,Malignant neoplasm of lower third of esophagus,86fa58f9-49df-5a19-be4e-30cf807ada33,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.5,Esophageal Cancer
52,C15,,Malignant neoplasm of esophagus,C15.8,Malignant neoplasm of overlapping sites of esophagus,23da84a0-1a41-5468-9d65-f3d8d87acaed,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.8,Esophageal Cancer
53,C15,,Malignant neoplasm of esophagus,C15.9,"Malignant neoplasm of esophagus, unspecified",e732e622-089d-5c48-bb4d-f4aef36c8f92,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C15-/C15.9,Esophageal Cancer
54,C16,,Malignant neoplasm of stomach,C16.0,Malignant neoplasm of cardia,72c66a60-4fa1-5467-9f63-fb287d5654b4,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.0,Stomach Cancer
55,C16,,Malignant neoplasm of stomach,C16.1,Malignant neoplasm of fundus of stomach,d8b7b127-fe77-56f7-b95c-7529ccc9a41c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.1,Stomach Cancer
56,C16,,Malignant neoplasm of stomach,C16.2,Malignant neoplasm of body of stomach,5a71f973-f22e-55d7-922b-8b65fb41791e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.2,Stomach Cancer
57,C16,,Malignant neoplasm of stomach,C16.3,Malignant neoplasm of pyloric antrum,fe6c8584-c210-55e1-86d7-c469fcd759f0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.3,Stomach Cancer
58,C16,,Malignant neoplasm of stomach,C16.4,Malignant neoplasm of pylorus,3fa773d5-8928-5e03-9f0f-b4ef0bff291c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.4,Stomach Cancer
59,C16,,Malignant neoplasm of stomach,C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",75ebfa0f-a3a9-55c9-bd2a-5792d9656f23,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.5,Stomach Cancer
60,C16,,Malignant neoplasm of stomach,C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified",e63b1f2e-ef9c-58da-943b-8909af010fbc,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.6,Stomach Cancer
61,C16,,Malignant neoplasm of stomach,C16.8,Malignant neoplasm of overlapping sites of stomach,92c20426-acb6-5c3a-8ec7-890f28b3f57d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.8,Stomach Cancer
62,C16,,Malignant neoplasm of stomach,C16.9,"Malignant neoplasm of stomach, unspecified",530603dc-f678-53f4-b818-750fe8ca2c14,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C16-/C16.9,Stomach Cancer
63,C17,,Malignant neoplasm of small intestine,C17.0,Malignant neoplasm of duodenum,7de95c6a-03d4-5dfd-92a4-b92320f3b98a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.0,Small Intestine Cancer
64,C17,,Malignant neoplasm of small intestine,C17.1,Malignant neoplasm of jejunum,e2875d65-f00d-5b9a-ab45-468ea6481da2,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.1,Small Intestine Cancer
65,C17,,Malignant neoplasm of small intestine,C17.2,Malignant neoplasm of ileum,bedf1388-9db8-58e8-9cde-d2b9a650b581,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.2,Small Intestine Cancer
66,C17,,Malignant neoplasm of small intestine,C17.3,"Meckel's diverticulum, malignant",589770b0-d62b-5c19-89c6-231fc279a978,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.3,Small Intestine Cancer
146,C43,,Malignant melanoma of skin,C43.20,Malignant melanoma of unspecified ear and external auricular canal,84e12aaf-9de9-5b55-84a7-579472bf8d5a,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C43-C44/C43-/C43.20,Melanoma
67,C17,,Malignant neoplasm of small intestine,C17.8,Malignant neoplasm of overlapping sites of small intestine,f4e54a2b-1d3d-5137-9636-055f07895bbf,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.8,Small Intestine Cancer
68,C17,,Malignant neoplasm of small intestine,C17.9,"Malignant neoplasm of small intestine, unspecified",6db0f547-e875-511c-9968-4fcc4dbf5e9e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C17-/C17.9,Small Intestine Cancer
69,C18,,Malignant neoplasm of colon,C18.0,Malignant neoplasm of cecum,805aee42-5a3a-55b9-9fba-925506d9b5de,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.0,Colon Cancer
70,C18,,Malignant neoplasm of colon,C18.1,Malignant neoplasm of appendix,8828a09a-6285-5833-931d-07872763b587,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.1,Colon Cancer
71,C18,,Malignant neoplasm of colon,C18.2,Malignant neoplasm of ascending colon,6b3f0f7c-dd55-55cb-96fb-210eb30a9bc6,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.2,Colon Cancer
72,C18,,Malignant neoplasm of colon,C18.3,Malignant neoplasm of hepatic flexure,dd9ae3a0-77db-5634-9ea1-50003b71d6d0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.3,Colon Cancer
73,C18,,Malignant neoplasm of colon,C18.4,Malignant neoplasm of transverse colon,e1e9d0a0-9c35-528f-bbc9-84b79c6b03bd,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.4,Colon Cancer
74,C18,,Malignant neoplasm of colon,C18.5,Malignant neoplasm of splenic flexure,907e7dea-c574-5424-9229-df0c4fe63d99,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.5,Colon Cancer
75,C18,,Malignant neoplasm of colon,C18.6,Malignant neoplasm of descending colon,097152f7-6c4c-59e1-be5b-30a417f6f2a9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.6,Colon Cancer
76,C18,,Malignant neoplasm of colon,C18.7,Malignant neoplasm of sigmoid colon,360d62cc-852a-5899-ac16-f9b9dfba84ba,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.7,Colon Cancer
77,C18,,Malignant neoplasm of colon,C18.8,Malignant neoplasm of overlapping sites of colon,1208e9f7-383c-5571-bada-0a218704af10,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.8,Colon Cancer
78,C18,,Malignant neoplasm of colon,C18.9,"Malignant neoplasm of colon, unspecified",9cae593a-a931-578c-bb37-68241ba00ef5,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C18-/C18.9,Colon Cancer
79,C21,,Malignant neoplasm of anus and anal canal,C21.0,"Malignant neoplasm of anus, unspecified",d93a4c13-ca63-5df1-9ef1-bdf60b3cc0ed,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C21-/C21.0,Anal Cancer
80,C21,,Malignant neoplasm of anus and anal canal,C21.1,Malignant neoplasm of anal canal,ed3d83a8-879d-5fba-970f-c05f4e99b4a0,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C21-/C21.1,Anal Cancer
81,C21,,Malignant neoplasm of anus and anal canal,C21.2,Malignant neoplasm of cloacogenic zone,9635619c-0fad-51f8-8b8d-110a30bc92ce,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C21-/C21.2,Anal Cancer
82,C21,,Malignant neoplasm of anus and anal canal,C21.8,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",98dae6b2-4a38-5ecd-9b27-935655660dc6,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C21-/C21.8,Anal Cancer
83,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.0,Liver cell carcinoma,e04921f5-ddd1-59ab-91ea-30b62e2397a3,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.0,Liver Cancer
84,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.1,Intrahepatic bile duct carcinoma,83b7290f-d645-590c-8afc-f54a7cd03810,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.1,Liver Cancer
85,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.2,Hepatoblastoma,84a2a1a0-35c9-5e72-8b42-e53e8d44b2eb,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.2,Liver Cancer
86,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.3,Angiosarcoma of liver,4006780c-66ca-5930-aa74-0416a6360ccb,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.3,Liver Cancer
87,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.4,Other sarcomas of liver,65bc0ca7-ffc0-520f-9adf-6d0f22f972f7,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.4,Liver Cancer
88,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.7,Other specified carcinomas of liver,8aa1da46-69a1-5d5d-b6f6-dae9bb1fda97,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.7,Liver Cancer
89,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.8,"Malignant neoplasm of liver, primary, unspecified as to type",09688de3-6d09-5d33-8a58-e6ef95be733d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.8,Liver Cancer
90,C22,,Malignant neoplasm of liver and intrahepatic bile ducts,C22.9,"Malignant neoplasm of liver, not specified as primary or secondary",24d4f67e-c43b-5126-8b8d-3a3b39e9dbd4,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C22-/C22.9,Liver Cancer
91,C24,,Malignant neoplasm of other and unspecified parts of biliary tract,C24.0,Malignant neoplasm of extrahepatic bile duct,ea21a5e3-c573-5dc9-83b5-7cc190358529,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C24-/C24.0,Biliary Tract Cancer
92,C24,,Malignant neoplasm of other and unspecified parts of biliary tract,C24.1,Malignant neoplasm of ampulla of Vater,da2382e1-6b2c-5193-9520-13a6c79d94b9,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C24-/C24.1,Biliary Tract Cancer
93,C24,,Malignant neoplasm of other and unspecified parts of biliary tract,C24.8,Malignant neoplasm of overlapping sites of biliary tract,b1078fbd-cbbc-5186-9fed-5020b6abe036,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C24-/C24.8,Biliary Tract Cancer
94,C24,,Malignant neoplasm of other and unspecified parts of biliary tract,C24.9,"Malignant neoplasm of biliary tract, unspecified",2ec7fd04-64bf-5557-86df-e35c9789b6a6,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C24-/C24.9,Biliary Tract Cancer
95,C25,,Malignant neoplasm of pancreas,C25.0,Malignant neoplasm of head of pancreas,df542181-bd70-5d9e-b147-09604ed5a752,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.0,Pancreatic Cancer
96,C25,,Malignant neoplasm of pancreas,C25.1,Malignant neoplasm of body of pancreas,fc98062d-b8c8-5596-ace1-109fa887367c,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.1,Pancreatic Cancer
97,C25,,Malignant neoplasm of pancreas,C25.2,Malignant neoplasm of tail of pancreas,e508e5c2-fbc6-502f-94ae-381571e21ba1,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.2,Pancreatic Cancer
98,C25,,Malignant neoplasm of pancreas,C25.3,Malignant neoplasm of pancreatic duct,dc405dda-3e80-5cba-b987-8be4161f966f,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.3,Pancreatic Cancer
99,C25,,Malignant neoplasm of pancreas,C25.4,Malignant neoplasm of endocrine pancreas,9fb3d20d-4638-571a-88fc-e2df5d7a19ce,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.4,Pancreatic Cancer
100,C25,,Malignant neoplasm of pancreas,C25.7,Malignant neoplasm of other parts of pancreas,10f28e52-2d1b-508e-86ef-8f1e2f0b8291,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.7,Pancreatic Cancer
101,C25,,Malignant neoplasm of pancreas,C25.8,Malignant neoplasm of overlapping sites of pancreas,b268e4b7-4a50-58dd-9cf5-a98764230b9d,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.8,Pancreatic Cancer
102,C25,,Malignant neoplasm of pancreas,C25.9,"Malignant neoplasm of pancreas, unspecified",d04f7060-c54b-5bf1-be02-a6a91c29bf2e,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C15-C26/C25-/C25.9,Pancreatic Cancer
103,C31,,Malignant neoplasm of accessory sinuses,C31.0,Malignant neoplasm of maxillary sinus,a2eb050b-57fd-5765-b771-6a2753bf4382,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C30-C39/C31-/C31.0,Accessory Sinus Cancer
104,C31,,Malignant neoplasm of accessory sinuses,C31.1,Malignant neoplasm of ethmoidal sinus,c62c9b25-79e3-536a-a71b-13b09017c3f4,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C30-C39/C31-/C31.1,Accessory Sinus Cancer
105,C31,,Malignant neoplasm of accessory sinuses,C31.2,Malignant neoplasm of frontal sinus,370099a3-74b3-5248-adea-422ed2995960,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C30-C39/C31-/C31.2,Accessory Sinus Cancer
106,C31,,Malignant neoplasm of accessory sinuses,C31.3,Malignant neoplasm of sphenoid sinus,e3a298f8-120c-5a88-822d-5545e14f1a25,https://www.icd10data.com//ICD10CM/Codes/C00-D49/C30-C39/C31-/C31.3,Accessory Sinus Cancer
